;Sample01;Sample02;Sample03;Sample04;Sample05;Sample06;Sample07;Sample08;Sample09;Sample10;Sample11;Sample12;Sample13;Sample14;Sample15;Sample16;Sample17;Sample18;Sample19;Sample20;Sample21;Sample22;Sample23;Sample24;Sample25;Sample26;Sample27;Sample28;Sample29;Sample30;Sample31;Sample32;Sample33;Sample34;Sample35;Sample36;Sample37;Sample38;Sample39;Sample40;Sample41;Sample42;Sample43;Sample44;Sample45;Sample46;Sample47;Sample48;Sample49;Sample50;Sample51;Sample52;Sample53;Sample54;Sample55;Sample56;Sample57;Sample58;Sample59;Sample60;Sample61;Sample62;Sample63;Sample64;Sample65;Sample66;Sample67;Sample68;Sample69;Sample70;Sample71;Sample72;Sample73;Sample74;Sample75;Sample76;Sample77;Sample78;Sample79;Sample80;Sample81;Sample82;Sample83;Sample84;Sample85;Sample86;Sample87;Sample88;Sample89;Sample90;Sample91;Sample92;Sample93;Sample94;Sample95;Sample96;Sample97;Sample98;Sample99;Sample100;Sample101;Sample102;Sample103;Sample104;Sample105;Sample106;Sample107;Sample108;Sample109;Sample110;Sample111;Sample112;Sample113;Sample114;Sample115;Sample116;Sample117;Sample118;Sample119;Sample120;Sample121;Sample122;Sample123;Sample124;Sample125;Sample126;Sample127;Sample128;Sample129;Sample130;Sample131;Sample132;Sample133;Sample134;Sample135;Sample136;Sample137;Sample138;Sample139;Sample140;Sample141;Sample142;Sample143;Sample144;Sample145;Sample146;Sample147;Sample148;Sample149;Sample150;Sample151;Sample152;Sample153;Sample154;Sample155;Sample156;Sample157;Sample158;Sample159;Sample160;Sample161;Sample162;Sample163;Sample164;Sample165;Sample166;Sample167;Sample168;Sample169;Sample170;Sample171;Sample172;Sample173;Sample174;Sample175;Sample176;Sample177;Sample178;Sample179;Sample180;Sample181;Sample182;Sample183;Sample184;Sample185;Sample186;Sample187;Sample188;Sample189;Sample190;Sample191;Sample192;Sample193;Sample194;Sample195;Sample196;Sample197;Sample198;Sample199;Sample200;Sample201;Sample202;Sample203;Sample204;Sample205;Sample206;Sample207;Sample208;Sample209;Sample210;Sample211;Sample212;Sample213;Sample214;Sample215;Sample216
Sample65;0.909927;0.873802;0.84135;0.851974;0.888812;0.76294;0.79269;0.844991;0.845726;0.715751;0.857333;0.861697;0.834655;0.782157;0.721802;0.870703;0.862676;0.899326;0.872573;0.837207;0.842547;0.858027;0.858342;0.838267;0.828205;0.805395;0.884607;0.804463;0.812004;0.811473;0.787878;0.795129;0.765476;0.822552;0.72503;0.798564;0.764569;0.782335;0.681681;0.775055;0.870246;0.887016;0.723544;0.821689;0.786092;0.829862;0.691467;0.655592;0.92295;0.710658;0.666381;0.707191;0.631471;0.709644;0.617389;0.735497;0.860563;0.643712;0.685903;0.683726;0.732322;0.796343;0.629267;0.552395;0;0.302857;0.416846;0.469275;0.428121;0.453024;0.347929;0.972851;0.938177;0.957981;0.942653;0.976021;0.697392;0.726955;0.708108;0.934611;0.95346;0.683061;0.632635;0.694267;0.962143;0.76026;0.800799;0.768097;0.762549;0.787649;0.836567;0.721478;0.743954;0.744623;0.731085;0.780941;0.714186;0.717062;0.712629;0.787403;0.763331;0.86755;0.767183;0.776774;0.758903;0.740685;0.778907;0.924191;0.791682;0.788747;0.877574;0.848461;0.838963;0.977094;0.950376;0.876074;0.775609;0.758708;0.836668;0.82006;0.805036;0.667102;0.696719;0.595986;0.640582;0.747031;0.714891;0.718135;0.698819;0.691863;0.693827;0.696407;0.960054;0.965883;0.964586;0.96016;0.961949;0.964006;0.945421;0.964109;0.969632;0.966565;0.964895;0.968584;0.972475;0.965564;0.976011;0.972275;0.957391;0.961865;0.87046;0.907405;0.934858;0.913359;0.898899;0.877115;0.843589;0.839678;0.901112;0.871438;0.984338;0.978004;0.848699;0.847787;0.863301;0.926272;0.910073;0.980899;0.757888;0.744693;0.867387;0.851695;0.807151;0.879569;0.854632;0.896791;0.91772;0.872091;0.997723;0.933824;0.899257;0.929538;0.931341;0.895733;0.948623;0.978484;0.981701;0.972834;0.808739;0.919103;0.995178;0.976287;0.887172;0.981818;0.943291;0.973301;0.925955;0.921509;0.971331;0.96261;0.984077;0.919454;0.92164;0.980422;0.999115;0.999621;0.999893;0.912754;0.917377;0.900155;0.928179;0.913067;0.925712;0.877102;0.910325;0.900564
Sample66;0.897522;0.868347;0.826946;0.84509;0.889663;0.751751;0.799271;0.83852;0.825591;0.674403;0.831176;0.849652;0.81801;0.762542;0.707908;0.844324;0.837741;0.885227;0.841169;0.821919;0.805798;0.85716;0.85119;0.826786;0.829716;0.764156;0.862992;0.798752;0.800758;0.781861;0.759641;0.814517;0.749259;0.795967;0.71549;0.771381;0.755836;0.77007;0.665307;0.759604;0.852016;0.876418;0.687682;0.778458;0.802463;0.823164;0.686067;0.702867;0.898375;0.679827;0.648565;0.6703;0.579667;0.65259;0.613604;0.69026;0.85981;0.600399;0.699771;0.700114;0.722647;0.80259;0.629942;0.544362;0.302857;0;0.363352;0.486927;0.407465;0.458985;0.331355;0.980617;0.953982;0.958394;0.950769;0.980009;0.720639;0.705055;0.685737;0.956435;0.991774;0.695508;0.65226;0.715245;0.996676;0.748538;0.786731;0.759463;0.759247;0.785075;0.838968;0.717036;0.740255;0.741017;0.729086;0.778522;0.718875;0.726857;0.705452;0.762452;0.716326;0.852571;0.725272;0.762492;0.77811;0.712456;0.728313;0.886598;0.755995;0.756015;0.871004;0.886134;0.872344;0.982946;0.96163;0.878135;0.769442;0.739312;0.826752;0.797148;0.800061;0.685875;0.74005;0.620074;0.659986;0.768422;0.704373;0.710401;0.710545;0.684132;0.701772;0.689538;0.953977;0.959498;0.960378;0.955392;0.958863;0.961646;0.944744;0.964198;0.968591;0.965017;0.961844;0.964162;0.968004;0.958733;0.975118;0.970158;0.985201;0.962849;0.844528;0.896354;0.923481;0.928423;0.896266;0.887031;0.864185;0.845661;0.904039;0.897703;0.987397;0.978319;0.851078;0.847297;0.864303;0.942437;0.925105;0.979473;0.770301;0.753278;0.882089;0.871586;0.808565;0.898716;0.868715;0.896524;0.93179;0.864576;0.997958;0.939266;0.913778;0.944259;0.953626;0.891538;0.946508;0.976892;0.96783;0.973196;0.803526;0.921659;0.996235;0.96761;0.888083;0.97548;0.941711;0.989046;0.959528;0.92293;0.973173;0.975317;0.970406;0.941996;0.944815;0.990463;0.999026;0.999629;0.999903;0.912609;0.919875;0.902318;0.926482;0.909841;0.924939;0.872348;0.905541;0.893619
Sample67;0.885442;0.864386;0.843648;0.838061;0.875492;0.744501;0.807433;0.842865;0.818774;0.723292;0.827263;0.828254;0.818637;0.764423;0.763069;0.837412;0.836922;0.888527;0.847715;0.830082;0.816626;0.829485;0.879401;0.813294;0.812667;0.807675;0.871175;0.78;0.800248;0.761792;0.79585;0.836409;0.769367;0.775979;0.723754;0.786464;0.788632;0.799114;0.702041;0.788892;0.877734;0.891109;0.727629;0.845634;0.784739;0.780821;0.680764;0.728934;0.91267;0.702157;0.656618;0.721678;0.646004;0.684049;0.652448;0.71344;0.890497;0.586944;0.742107;0.723878;0.738951;0.792293;0.634611;0.536985;0.416846;0.363352;0;0.519435;0.53706;0.532394;0.378053;0.986874;0.981992;0.977519;0.976348;0.984995;0.778599;0.746159;0.69245;0.981263;0.996671;0.731104;0.704352;0.7257;0.999003;0.774104;0.795084;0.750412;0.775716;0.769401;0.851601;0.720713;0.716539;0.723557;0.718424;0.741326;0.721806;0.755823;0.707292;0.768427;0.721857;0.870145;0.751567;0.806275;0.781299;0.725048;0.732578;0.888888;0.761648;0.763395;0.885985;0.913889;0.895118;0.982929;0.96527;0.896073;0.807003;0.744728;0.852636;0.837869;0.794693;0.700003;0.762229;0.671553;0.66918;0.808847;0.731458;0.731049;0.7448;0.709966;0.742246;0.713383;0.955163;0.951801;0.959477;0.950761;0.956729;0.959127;0.938367;0.954832;0.960596;0.960273;0.954377;0.959358;0.961926;0.950801;0.968328;0.960001;0.993927;0.989231;0.863443;0.911346;0.934016;0.957513;0.91639;0.908386;0.886871;0.86853;0.919409;0.920997;0.989236;0.979963;0.852417;0.851276;0.868116;0.940864;0.927937;0.982416;0.812006;0.780092;0.885194;0.873074;0.834321;0.915685;0.896747;0.921315;0.93948;0.898485;0.9979;0.932772;0.912603;0.943811;0.952742;0.890196;0.946459;0.975147;0.988586;0.995988;0.826827;0.927049;0.994486;0.982204;0.893662;0.985664;0.932032;0.980007;0.964452;0.946192;0.996315;0.995829;0.993424;0.958963;0.952193;0.987222;0.998817;0.99962;0.999846;0.891633;0.897034;0.878716;0.903448;0.884685;0.901647;0.855584;0.878093;0.863851
Sample68;0.896378;0.859532;0.826432;0.830818;0.872758;0.754032;0.823704;0.848543;0.846899;0.73564;0.853662;0.843202;0.827241;0.774077;0.737058;0.847891;0.855884;0.886816;0.857048;0.829853;0.822598;0.834021;0.865978;0.818449;0.809445;0.807281;0.870756;0.796135;0.791254;0.800644;0.776921;0.785425;0.775916;0.801547;0.698743;0.768265;0.780471;0.753957;0.640854;0.753305;0.849789;0.860266;0.703853;0.809074;0.798872;0.808418;0.534449;0.509471;0.91812;0.707862;0.674431;0.733746;0.649053;0.718489;0.625767;0.742092;0.884948;0.620545;0.612573;0.6087;0.747232;0.798091;0.692136;0.50022;0.469275;0.486927;0.519435;0;0.484478;0.425682;0.53504;0.982147;0.974381;0.974107;0.972989;0.982416;0.612723;0.679228;0.64384;0.974535;0.989184;0.580443;0.538888;0.580751;0.994126;0.733311;0.775125;0.751956;0.765164;0.773128;0.821679;0.708932;0.735714;0.73598;0.71619;0.772435;0.719231;0.706654;0.704357;0.762673;0.731318;0.882858;0.745674;0.771112;0.535731;0.714345;0.744017;0.910034;0.762187;0.757154;0.919133;0.819047;0.795839;0.984163;0.967602;0.921451;0.765829;0.729798;0.822808;0.807939;0.787462;0.745548;0.517292;0.695009;0.703634;0.834328;0.64137;0.639456;0.633997;0.598577;0.62443;0.612859;0.954469;0.962389;0.962034;0.946332;0.947304;0.949595;0.939058;0.940818;0.948469;0.945141;0.939442;0.964979;0.970796;0.962926;0.973775;0.971787;0.983886;0.975791;0.872258;0.903662;0.923029;0.928348;0.884684;0.872387;0.830346;0.830641;0.900856;0.874286;0.989572;0.976715;0.83967;0.845834;0.847472;0.853653;0.87404;0.973158;0.771274;0.708345;0.771361;0.781533;0.808475;0.798167;0.752685;0.779987;0.797878;0.757111;0.997741;0.932723;0.887622;0.925561;0.930114;0.883344;0.948168;0.979917;0.981349;0.986745;0.728185;0.910054;0.994748;0.972688;0.873331;0.98657;0.944778;0.976859;0.956933;0.915801;0.985143;0.98286;0.986573;0.913514;0.881572;0.978049;0.999102;0.99963;0.999878;0.904921;0.9032;0.887887;0.916302;0.900378;0.916962;0.874244;0.903325;0.895603
Sample69;0.926113;0.88298;0.858268;0.870787;0.915353;0.7975;0.840783;0.889779;0.876555;0.73336;0.88492;0.889432;0.834552;0.810852;0.726266;0.890588;0.893133;0.884161;0.887255;0.821316;0.858183;0.871897;0.835048;0.857584;0.842198;0.770339;0.875286;0.84133;0.848173;0.835968;0.779876;0.780341;0.815575;0.863201;0.750267;0.804708;0.760289;0.78798;0.688658;0.763698;0.838384;0.885021;0.757802;0.758424;0.8607;0.811591;0.643948;0.617604;0.914554;0.77003;0.756432;0.77001;0.688165;0.755527;0.682009;0.779845;0.848586;0.687656;0.637976;0.588465;0.692159;0.852274;0.753508;0.653521;0.428121;0.407465;0.53706;0.484478;0;0.401467;0.527906;0.966863;0.872658;0.928337;0.877224;0.969674;0.645148;0.69415;0.706631;0.89516;0.988174;0.66907;0.546461;0.678764;0.995044;0.79352;0.835315;0.803508;0.790296;0.825298;0.809501;0.754473;0.772885;0.782038;0.773032;0.822863;0.76991;0.76716;0.739721;0.779967;0.786147;0.895161;0.772654;0.754893;0.733298;0.772775;0.82218;0.918846;0.800203;0.785049;0.92478;0.790882;0.77736;0.977192;0.954671;0.921629;0.789517;0.790897;0.834511;0.801695;0.839699;0.758004;0.642899;0.676889;0.703627;0.791419;0.693151;0.691432;0.66099;0.679054;0.635005;0.658401;0.964709;0.970579;0.969053;0.963707;0.961755;0.964291;0.957064;0.965687;0.969819;0.965971;0.963311;0.974964;0.975287;0.967255;0.980655;0.977883;0.974092;0.92978;0.847451;0.875678;0.886266;0.90907;0.871557;0.844682;0.820964;0.823232;0.914099;0.87146;0.985443;0.975129;0.853962;0.851435;0.861628;0.907177;0.887736;0.97513;0.75984;0.757262;0.867079;0.854545;0.775966;0.822536;0.783225;0.802539;0.879723;0.769137;0.996915;0.930934;0.88508;0.924706;0.930824;0.88976;0.943848;0.977152;0.949791;0.925758;0.757684;0.916556;0.995519;0.966326;0.874837;0.977845;0.940717;0.976196;0.952759;0.889825;0.923688;0.951116;0.915938;0.865555;0.901509;0.975528;0.999009;0.99956;0.999886;0.914573;0.92181;0.902974;0.931723;0.916379;0.926941;0.88927;0.921876;0.911895
Sample70;0.925599;0.890041;0.870762;0.883086;0.92679;0.823637;0.816963;0.901387;0.880014;0.785985;0.889582;0.895943;0.841921;0.840966;0.794784;0.893071;0.896307;0.887915;0.8945;0.829674;0.866795;0.874982;0.880788;0.861673;0.8481;0.82788;0.894108;0.870929;0.860612;0.847441;0.813481;0.825905;0.845244;0.880974;0.788069;0.821674;0.801385;0.834487;0.726405;0.794048;0.86375;0.896062;0.790903;0.794777;0.864404;0.815666;0.647838;0.633146;0.918556;0.795535;0.77943;0.802306;0.740812;0.784687;0.725166;0.802715;0.86365;0.727321;0.674159;0.600636;0.731732;0.874139;0.761747;0.699652;0.453024;0.458985;0.532394;0.425682;0.401467;0;0.528432;0.964253;0.894221;0.926221;0.888767;0.967958;0.726855;0.747141;0.743169;0.897472;0.977237;0.745513;0.645507;0.75359;0.984821;0.832558;0.859054;0.830012;0.835443;0.85049;0.859508;0.796474;0.803408;0.818219;0.814317;0.842179;0.799085;0.817014;0.777819;0.802364;0.809824;0.896563;0.799946;0.803011;0.627309;0.805074;0.844605;0.935116;0.82676;0.815721;0.913379;0.832167;0.832976;0.968856;0.951263;0.9114;0.844805;0.841845;0.870565;0.839938;0.868444;0.722375;0.580747;0.668902;0.677697;0.776799;0.728525;0.724646;0.708934;0.739524;0.708178;0.714441;0.963728;0.967544;0.968741;0.953964;0.95426;0.956541;0.93525;0.947868;0.95464;0.950212;0.946493;0.973196;0.971546;0.964234;0.978007;0.974905;0.967344;0.935213;0.862802;0.900889;0.909709;0.915712;0.877079;0.862504;0.831587;0.835568;0.917154;0.888596;0.986235;0.976425;0.869269;0.863862;0.881667;0.869718;0.88675;0.979263;0.806076;0.741004;0.81312;0.814985;0.811834;0.77333;0.744924;0.756258;0.805904;0.726909;0.996633;0.923785;0.887983;0.925097;0.927806;0.898929;0.944982;0.973569;0.962448;0.940324;0.772309;0.926539;0.996313;0.967143;0.879619;0.97341;0.93049;0.961637;0.949447;0.906619;0.935206;0.94993;0.940791;0.871227;0.869924;0.975061;0.99911;0.999621;0.999904;0.913966;0.922993;0.906531;0.931726;0.918301;0.925958;0.891207;0.918523;0.909284
Sample71;0.895018;0.880561;0.837013;0.861754;0.869351;0.737971;0.792731;0.818798;0.82583;0.688074;0.823768;0.835833;0.856409;0.730696;0.732626;0.82082;0.834398;0.935652;0.847649;0.876303;0.816366;0.848305;0.872515;0.839834;0.836681;0.788871;0.870254;0.747398;0.789898;0.761373;0.786842;0.840039;0.745701;0.729934;0.691446;0.799339;0.802507;0.784801;0.708741;0.815132;0.901693;0.891417;0.693577;0.820349;0.742132;0.862662;0.741666;0.735365;0.903197;0.686118;0.607592;0.688528;0.600069;0.654106;0.635815;0.697407;0.892838;0.599543;0.759613;0.76421;0.801548;0.750697;0.565117;0.494125;0.347929;0.331355;0.378053;0.53504;0.527906;0.528432;0;0.971165;0.957779;0.952553;0.951963;0.974418;0.761667;0.796661;0.773582;0.956615;0.994845;0.734522;0.727766;0.752612;0.9983;0.741685;0.753359;0.718022;0.772762;0.742168;0.877025;0.691163;0.736224;0.713531;0.697853;0.756228;0.665511;0.715458;0.719448;0.751711;0.70718;0.85968;0.719526;0.788984;0.779229;0.695192;0.712467;0.875804;0.744233;0.751467;0.858657;0.912098;0.905695;0.978996;0.953132;0.874354;0.780877;0.697173;0.83643;0.809504;0.764125;0.652305;0.778169;0.643251;0.701602;0.777704;0.778577;0.781973;0.811904;0.752908;0.809048;0.780579;0.955247;0.961474;0.960162;0.954473;0.956736;0.959629;0.939227;0.971198;0.974595;0.972467;0.969483;0.963331;0.967273;0.956972;0.970888;0.968069;0.981652;0.960735;0.863128;0.918626;0.945253;0.949233;0.924215;0.909886;0.880402;0.859796;0.919099;0.909865;0.98997;0.985336;0.88893;0.886397;0.898497;0.949075;0.935044;0.982483;0.776107;0.777865;0.886855;0.888901;0.835281;0.910891;0.883688;0.909637;0.933527;0.879721;0.998706;0.959218;0.93294;0.953704;0.959992;0.916129;0.965195;0.985384;0.9828;0.978853;0.808245;0.946078;0.99881;0.979053;0.917706;0.986439;0.955373;0.974642;0.959844;0.940068;0.976695;0.971712;0.977667;0.946153;0.949302;0.983817;0.999204;0.999743;0.999943;0.925079;0.930275;0.919319;0.937195;0.92502;0.939452;0.884721;0.908178;0.897669
Sample72;0.997905;0.996169;0.998107;0.993663;0.996373;0.991967;0.995894;0.998669;0.996655;0.996558;0.99611;0.998336;0.99565;0.99177;0.996286;0.997993;0.99808;0.995805;0.998158;0.995453;0.996088;0.993369;0.997375;0.995044;0.990824;0.996332;0.994546;0.992432;0.989864;0.996981;0.965229;0.986505;0.986622;0.995621;0.996679;0.99341;0.991803;0.988475;0.99012;0.983255;0.973309;0.990711;0.99147;0.961522;0.975699;0.965809;0.990967;0.978906;0.976129;0.969543;0.95895;0.98565;0.989667;0.98849;0.987371;0.960868;0.908672;0.988269;0.965889;0.960431;0.960244;0.937977;0.965867;0.982294;0.972851;0.980617;0.986874;0.982147;0.966863;0.964253;0.971165;0;0.778959;0.792342;0.786194;0.574486;0.870504;0.974685;0.978905;0.769069;0.966675;0.990834;0.982174;0.994258;0.993698;0.970166;0.968069;0.976016;0.972125;0.97755;0.96786;0.972964;0.986577;0.986469;0.98629;0.985979;0.970417;0.946286;0.980759;0.954818;0.975734;0.967374;0.971606;0.954333;0.97437;0.958895;0.999505;0.99243;0.977553;0.953527;0.974347;0.963925;0.984167;0.978079;0.970351;0.969986;0.959066;0.984781;0.977553;0.972558;0.975474;0.977716;0.966739;0.982324;0.986816;0.951728;0.987854;0.989313;0.985887;0.98903;0.986914;0.986378;0.996036;0.997135;0.997093;0.995945;0.996538;0.995671;0.994891;0.997888;0.997281;0.996956;0.996316;0.998788;0.997178;0.995681;0.996679;0.997574;0.968134;0.966711;0.987871;0.976507;0.988403;0.962293;0.969291;0.964969;0.964973;0.977449;0.984545;0.983638;0.994968;0.994517;0.980114;0.973413;0.98023;0.984648;0.991436;0.990254;0.937331;0.979887;0.985147;0.977526;0.974878;0.972405;0.959434;0.966822;0.967253;0.953773;0.99512;0.973012;0.973091;0.968769;0.979627;0.983499;0.990034;0.994632;0.991894;0.986263;0.982933;0.979635;0.996885;0.982287;0.977863;0.972433;0.957701;0.981765;0.977037;0.98279;0.983795;0.970134;0.984884;0.971762;0.983091;0.992964;0.999593;0.999434;0.998901;0.995983;0.996227;0.995381;0.996736;0.996245;0.996171;0.994114;0.995724;0.995979
Sample73;0.995411;0.993112;0.997016;0.988706;0.994063;0.990387;0.994487;0.997732;0.994336;0.998156;0.993337;0.996454;0.991658;0.990029;0.997512;0.998233;0.996948;0.994496;0.997253;0.993324;0.995786;0.990356;0.997786;0.994752;0.989561;0.997185;0.996134;0.992089;0.988562;0.995224;0.965496;0.984846;0.989506;0.994494;0.99505;0.992256;0.990463;0.991534;0.991238;0.983306;0.982065;0.979529;0.99225;0.917621;0.932657;0.941044;0.991478;0.975597;0.977561;0.944895;0.957457;0.965747;0.983314;0.968509;0.946636;0.900907;0.939116;0.987801;0.957588;0.970785;0.971789;0.885155;0.923398;0.979441;0.938177;0.953982;0.981992;0.974381;0.872658;0.894221;0.957779;0.778959;0;0.516446;0.470719;0.813724;0.880963;0.980857;0.976282;0.475167;0.796838;0.986047;0.983359;0.993047;0.946257;0.957061;0.939895;0.959724;0.972203;0.972752;0.977979;0.97218;0.985459;0.985266;0.989431;0.984923;0.936788;0.943434;0.984751;0.905147;0.964948;0.966733;0.931787;0.934128;0.974797;0.946838;0.99856;0.977264;0.976766;0.938118;0.923114;0.971251;0.992237;0.903673;0.905778;0.902908;0.964497;0.97329;0.975538;0.945649;0.977897;0.97293;0.974486;0.985248;0.986799;0.951617;0.985484;0.987194;0.985301;0.988752;0.987352;0.986656;0.983369;0.991855;0.985276;0.989045;0.983234;0.985028;0.978628;0.991732;0.993395;0.988477;0.990709;0.995809;0.988471;0.984405;0.992583;0.995613;0.94576;0.924804;0.912502;0.957225;0.924078;0.915173;0.910647;0.850669;0.880835;0.898055;0.959256;0.950936;0.978274;0.98765;0.970488;0.960728;0.967796;0.976281;0.982154;0.989243;0.917459;0.964235;0.97006;0.95357;0.881443;0.858304;0.835834;0.857228;0.949164;0.817883;0.978147;0.95546;0.966168;0.957349;0.966165;0.966529;0.980838;0.992065;0.932529;0.881007;0.937315;0.974809;0.986435;0.939074;0.970927;0.932021;0.898919;0.952495;0.947226;0.916267;0.892831;0.925892;0.882026;0.854448;0.936916;0.976238;0.998875;0.999497;0.99984;0.991247;0.991762;0.990262;0.992558;0.991346;0.991427;0.986457;0.990644;0.991069
Sample74;0.990401;0.989707;0.995833;0.971623;0.979208;0.987787;0.990041;0.997476;0.986139;0.996538;0.987575;0.995493;0.98856;0.98514;0.996882;0.995626;0.9951;0.992739;0.995423;0.991207;0.991165;0.985646;0.997495;0.988813;0.983511;0.996724;0.989337;0.982139;0.975832;0.993483;0.941116;0.979968;0.985345;0.995642;0.992717;0.98792;0.988317;0.990915;0.987504;0.967437;0.980811;0.992952;0.989272;0.938224;0.965944;0.952131;0.987344;0.974878;0.974065;0.959648;0.960038;0.989375;0.987427;0.985453;0.983033;0.917134;0.921264;0.985599;0.956;0.951415;0.961431;0.934361;0.930989;0.975648;0.957981;0.958394;0.977519;0.974107;0.928337;0.926221;0.952553;0.792342;0.516446;0;0.545884;0.823492;0.861917;0.972858;0.967818;0.5357;0.824808;0.986968;0.982025;0.989607;0.990274;0.96663;0.960084;0.964957;0.974525;0.969379;0.980971;0.966569;0.976462;0.978602;0.982784;0.978261;0.955979;0.94654;0.978219;0.920291;0.960433;0.95656;0.939384;0.928166;0.967939;0.937668;0.998092;0.976201;0.968163;0.928728;0.882481;0.949958;0.987456;0.869297;0.863358;0.863593;0.959706;0.971134;0.969965;0.943831;0.977532;0.956969;0.972811;0.975193;0.975474;0.943204;0.980683;0.982364;0.979264;0.984294;0.982247;0.981909;0.983911;0.989093;0.987216;0.984834;0.985856;0.984733;0.980382;0.991834;0.990822;0.989419;0.987593;0.994751;0.988612;0.987172;0.989669;0.991512;0.968479;0.947915;0.957971;0.9612;0.964873;0.946777;0.933025;0.922716;0.913239;0.931245;0.955895;0.963194;0.976337;0.988256;0.961518;0.944522;0.95976;0.974806;0.979212;0.989397;0.904013;0.948361;0.960565;0.933554;0.920557;0.934643;0.90783;0.919001;0.944302;0.893439;0.972134;0.943535;0.963889;0.958776;0.974031;0.963597;0.976177;0.989113;0.973502;0.962759;0.957065;0.965988;0.987485;0.925939;0.964982;0.938953;0.911149;0.927721;0.971893;0.941373;0.95618;0.95408;0.963317;0.942212;0.955447;0.976271;0.998724;0.999499;0.999888;0.979055;0.980742;0.977086;0.982712;0.978949;0.979798;0.982174;0.987754;0.987001
Sample75;0.989969;0.98955;0.996568;0.968314;0.976609;0.987;0.990292;0.997742;0.985791;0.997151;0.987772;0.994884;0.988002;0.984346;0.997544;0.99571;0.994952;0.992857;0.995307;0.99094;0.990836;0.985152;0.998233;0.988059;0.983245;0.997173;0.988433;0.982089;0.972191;0.99352;0.93244;0.980408;0.985232;0.994538;0.992752;0.989026;0.988426;0.991205;0.987796;0.981346;0.980529;0.979225;0.989256;0.911293;0.941165;0.927833;0.987884;0.968284;0.974077;0.938598;0.95296;0.962037;0.983259;0.969043;0.962389;0.890572;0.919803;0.984699;0.953778;0.950315;0.960397;0.88881;0.888197;0.976494;0.942653;0.950769;0.976348;0.972989;0.877224;0.888767;0.951963;0.786194;0.470719;0.545884;0;0.801868;0.856825;0.973113;0.967634;0.524556;0.94718;0.986233;0.981755;0.989575;0.968181;0.956359;0.935574;0.958113;0.970188;0.96716;0.976239;0.965919;0.974943;0.97888;0.982493;0.976956;0.938546;0.941958;0.978281;0.897454;0.960807;0.957877;0.9227;0.922597;0.968515;0.943233;0.999012;0.976506;0.969523;0.925553;0.927497;0.964169;0.990444;0.908585;0.888648;0.90533;0.962828;0.978323;0.972194;0.940578;0.977966;0.953579;0.972237;0.97451;0.973478;0.938015;0.979655;0.981644;0.978502;0.984353;0.982517;0.982033;0.980424;0.986313;0.980564;0.981716;0.977547;0.978769;0.971058;0.98971;0.989358;0.986257;0.986061;0.991307;0.984905;0.982037;0.988065;0.989753;0.957264;0.928934;0.926543;0.954914;0.932648;0.922131;0.910152;0.872872;0.877556;0.894258;0.954557;0.949988;0.970801;0.986104;0.954315;0.937088;0.952078;0.969953;0.973984;0.988999;0.897823;0.940307;0.955787;0.930228;0.875063;0.881506;0.856633;0.873275;0.941492;0.84242;0.973323;0.936404;0.957747;0.9531;0.962671;0.955922;0.974362;0.988828;0.949401;0.916991;0.94062;0.962505;0.986702;0.927618;0.952078;0.922557;0.885779;0.914206;0.95452;0.912978;0.910842;0.937786;0.914792;0.884915;0.935244;0.974477;0.99895;0.999536;0.99983;0.975143;0.977302;0.973369;0.979491;0.975245;0.976067;0.97926;0.984341;0.983878
