	Sample01	Sample02	Sample03	Sample04	Sample05	Sample06	Sample07	Sample08	Sample09	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20	Sample21	Sample22	Sample23	Sample24	Sample25	Sample26	Sample27	Sample28	Sample29	Sample30	Sample31	Sample32	Sample33	Sample34	Sample35	Sample36	Sample37	Sample38	Sample39	Sample40	Sample41	Sample42	Sample43	Sample44	Sample45	Sample46	Sample47	Sample48	Sample49	Sample50	Sample51	Sample52	Sample53	Sample54	Sample55	Sample56	Sample57	Sample58	Sample59	Sample60	Sample61	Sample62	Sample63	Sample64	Sample65	Sample66	Sample67	Sample68	Sample69	Sample70	Sample71	Sample72	Sample73	Sample74	Sample75	Sample76	Sample77	Sample78	Sample79	Sample80	Sample81	Sample82	Sample83	Sample84	Sample85	Sample86	Sample87	Sample88	Sample89	Sample90	Sample91	Sample92	Sample93	Sample94	Sample95
Sample18	0.0752425	0.0998779	0.121912	0.0717584	0.166759	0.0873447	0.11028	0.159933	0.0963407	0.0842366	0.14515	0.0873952	0.111789	0.11298	0.0781383	0.116963	0.0944377	0	0.0435416	0.120566	0.133272	0.0862983	0.0776207	0.0713192	0.124491	0.0901662	0.081352	0.118097	0.0767988	0.0905466	0.0596962	0.140086	0.0651655	0.103965	0.113729	0.0591609	0.119475	0.076954	0.080322	0.0840036	0.0608422	0.11298	0.115463	0.110719	0.0878527	0.0906559	0.0756539	0.09343	0.0684104	0.165848	0.0696113	0.100221	0.178567	0.100083	0.104724	0.119475	0.0747617	0.133716	0.0864955	0.0978761	0.0999463	0.0872439	0.0766056	0.165251	0.109502	0.0913739	0.0694192	0.0999463	0.085858	0.115463	0.0639598	0.0646278	0.0797751	0.0829037	0.106845	0.109417	0.0922182	0.0862	0.0985328	0.150417	0.118411	0.107331	0.0982689	0.0767988	0.0694192	0.11188	0.161003	0.208588	0.0951641	0.0782989	0.0884707	0.0903288	0.0658851	0.0917095	0.174048
Sample19	0.0741059	0.113823	0.114013	0.0603894	0.126719	0.0933131	0.124491	0.134163	0.0892567	0.0852303	0.13492	0.102052	0.0720313	0.0681007	0.0870931	0.0964036	0.104116	0.0435416	0	0.117578	0.121122	0.0828585	0.0886788	0.0683483	0.0796083	0.0896822	0.087955	0.0835416	0.0597453	0.0686288	0.0539611	0.107987	0.0630876	0.0775812	0.125099	0.0678854	0.0924463	0.0604645	0.065798	0.0863968	0.0777792	0.137107	0.084424	0.120236	0.0766828	0.0894689	0.0719971	0.0818332	0.0720313	0.145727	0.0782587	0.0682243	0.0924463	0.0755413	0.100428	0.125591	0.0749459	0.0883671	0.0946784	0.0760698	0.0691644	0.0739976	0.0947993	0.146509	0.105032	0.0927332	0.0612239	0.107412	0.0878527	0.0749829	0.0734255	0.0762985	0.0855188	0.0782989	0.0754664	0.084424	0.0708518	0.0686288	0.0708518	0.102924	0.0800686	0.0803644	0.118306	0.0801107	0.0772663	0.116659	0.0841433	0.139916	0.102413	0.0805344	0.0947388	0.10234	0.0690693	0.0971013	0.150849
Sample20	0.0860531	0.103145	0.091822	0.074615	0.0917095	0.205675	0.25242	0.0502745	0.0726524	0.0755038	0.0411012	0.144016	0.095409	0.17663	0.181421	0.113634	0.191209	0.120566	0.117578	0	0.0659433	0.0804068	0.135226	0.146706	0.0853743	0.0526539	0.0611983	0.119261	0.176252	0.148114	0.132688	0.0565541	0.123066	0.15307	0.155645	0.0634122	0.109076	0.115267	0.0907656	0.102486	0.0631955	0.0796916	0.0571651	0.134464	0.0809626	0.0877506	0.102631	0.0627925	0.0841433	0.0391934	0.118516	0.0899503	0.11566	0.105732	0.150849	0.105187	0.0631415	0.110106	0.0705872	0.0913182	0.162376	0.113353	0.130424	0.0393922	0.0815263	0.0764518	0.132688	0.110193	0.124491	0.11894	0.133567	0.0670063	0.0782989	0.14515	0.123536	0.158887	0.134767	0.0760698	0.0878016	0.165848	0.0617912	0.181421	0.109076	0.0947993	0.0779384	0.0880063	0.0946784	0.183572	0.106047	0.0671564	0.0731425	0.0915414	0.073639	0.0700636	0.0767601
Sample21	0.116157	0.0967193	0.108822	0.120456	0.100916	0.117888	0.127359	0.0953477	0.0744689	0.102631	0.0829037	0.184461	0.108153	0.199098	0.195553	0.0841433	0.164662	0.133272	0.121122	0.0659433	0	0.0311445	0.186292	0.127359	0.0899503	0.0630068	0.0450984	0.155166	0.139745	0.170592	0.13342	0.0880576	0.156129	0.156129	0.193331	0.0565317	0.13342	0.157613	0.08157	0.0677323	0.0631955	0.0698691	0.0527743	0.118201	0.066827	0.0709182	0.147505	0.0752425	0.065137	0.0850869	0.129876	0.147104	0.103367	0.151946	0.155645	0.0926182	0.0717924	0.131683	0.0744324	0.10857	0.130149	0.125715	0.118411	0.0841899	0.0543168	0.0557338	0.117888	0.104495	0.10389	0.167067	0.116257	0.0456293	0.0468017	0.176252	0.159146	0.0951031	0.128138	0.0744324	0.10774	0.151946	0.103293	0.13759	0.107331	0.0974869	0.0892567	0.0749829	0.154457	0.170592	0.132543	0.0653942	0.048228	0.150849	0.086843	0.0472248	0.0763751
Sample22	0.0910963	0.0785817	0.126215	0.125591	0.120018	0.0879038	0.097681	0.115957	0.0648533	0.073461	0.0998779	0.0944377	0.125591	0.11676	0.11354	0.0811352	0.11188	0.0862983	0.0828585	0.0804068	0.0311445	0	0.111609	0.101693	0.0952252	0.0674281	0.0440779	0.120677	0.0910963	0.10807	0.0883671	0.0998096	0.10774	0.108822	0.116157	0.0498845	0.151946	0.10198	0.0721341	0.0628192	0.0535061	0.0801107	0.0593303	0.0944978	0.0548468	0.0567341	0.108319	0.0681933	0.0477572	0.106604	0.0980066	0.102704	0.112518	0.17026	0.105498	0.0893096	0.0552118	0.116861	0.0636576	0.0846595	0.0908205	0.132399	0.0970374	0.106047	0.0527743	0.049118	0.0888356	0.0893627	0.081092	0.184461	0.0817892	0.04164	0.0415401	0.111609	0.114587	0.0807051	0.098072	0.061558	0.0848489	0.14515	0.10198	0.0969099	0.0878016	0.0716566	0.0665893	0.0703573	0.178173	0.167376	0.0923321	0.0539611	0.0451463	0.187235	0.0685038	0.0464838	0.0912626
Sample23	0.0635756	0.0806624	0.0724788	0.106444	0.146312	0.121798	0.137429	0.143092	0.098072	0.0819213	0.102997	0.0557776	0.127877	0.0892038	0.0717245	0.139407	0.109076	0.0776207	0.0886788	0.135226	0.186292	0.111609	0	0.0998779	0.112061	0.112243	0.103665	0.118622	0.112335	0.0874458	0.110193	0.146706	0.109588	0.0750939	0.0776207	0.0960902	0.0924463	0.081092	0.106524	0.107905	0.0902203	0.199716	0.202933	0.0648533	0.0878016	0.0827683	0.0613777	0.0972937	0.0897892	0.164079	0.066827	0.102558	0.10359	0.105654	0.0849915	0.153758	0.0724442	0.0800266	0.0855188	0.0936649	0.101622	0.124491	0.0946784	0.161822	0.111251	0.104116	0.0786222	0.0951641	0.0993347	0.145341	0.0687855	0.0961527	0.105342	0.0467178	0.102924	0.0704228	0.0811785	0.107822	0.102924	0.128799	0.0866937	0.0855188	0.111162	0.0969099	0.0636302	0.098599	0.123418	0.141125	0.0707193	0.100152	0.108403	0.108822	0.0996054	0.111251	0.176252
Sample24	0.0876996	0.112152	0.0959655	0.0659142	0.108991	0.0884189	0.0902203	0.161274	0.073461	0.103293	0.176252	0.107658	0.0914296	0.0646841	0.0701612	0.0795667	0.0801107	0.0713192	0.0683483	0.146706	0.127359	0.101693	0.0998779	0	0.0811785	0.114491	0.0969099	0.0553416	0.056644	0.0593546	0.0639322	0.102777	0.0729668	0.0682243	0.116659	0.0853743	0.0773055	0.06019	0.076184	0.0902745	0.0909857	0.189679	0.12974	0.114299	0.105498	0.113729	0.0857608	0.0992	0.0934886	0.216771	0.0851824	0.0926182	0.0741782	0.0842366	0.066708	0.0967827	0.0940198	0.0926182	0.106524	0.0908755	0.0741782	0.068535	0.101409	0.218593	0.122833	0.0930801	0.0625794	0.0974224	0.0739256	0.0721684	0.0873447	0.0852783	0.0959655	0.0773448	0.0679775	0.0764134	0.0632766	0.0720998	0.0619475	0.0672468	0.0886267	0.0634666	0.0828585	0.0729317	0.0925608	0.0931382	0.0784198	0.0823648	0.0817014	0.10374	0.0996054	0.117167	0.0830849	0.10198	0.207109
Sample25	0.0638496	0.0599917	0.0923321	0.0606906	0.0709847	0.132833	0.169279	0.106684	0.0783795	0.116963	0.0689429	0.097681	0.0574862	0.0755413	0.130286	0.0715889	0.134163	0.124491	0.0796083	0.0853743	0.0899503	0.0952252	0.112061	0.0811785	0	0.0550181	0.071018	0.0909857	0.100916	0.0896287	0.076954	0.0875471	0.0912071	0.0563528	0.0959655	0.084424	0.0700311	0.0633308	0.0746517	0.10029	0.0762603	0.0951031	0.0693234	0.0711516	0.0819654	0.0969099	0.0789482	0.0724096	0.0875979	0.103516	0.11354	0.0799845	0.0358221	0.0652511	0.0833583	0.151725	0.0931382	0.0473443	0.0967827	0.0791944	0.0719629	0.101409	0.120127	0.101056	0.101908	0.0939012	0.0690693	0.0852303	0.0842834	0.0545914	0.0940198	0.0810057	0.0876487	0.0949813	0.0715213	0.0588483	0.0538987	0.0597944	0.0765671	0.0687541	0.0593061	0.0714538	0.158119	0.111519	0.0562415	0.0827233	0.0665597	0.0968463	0.0645437	0.0841433	0.0860042	0.107987	0.101409	0.0849439	0.0773448
Sample26	0.0686288	0.0680698	0.0799425	0.0683172	0.0648533	0.10857	0.157362	0.0482632	0.0528548	0.0694831	0.0590403	0.110193	0.0779783	0.106444	0.139576	0.0941388	0.144959	0.0901662	0.0896822	0.0526539	0.0630068	0.0674281	0.112243	0.114491	0.0550181	0	0.0326803	0.0994698	0.121912	0.106845	0.0967193	0.0561083	0.106684	0.107412	0.126215	0.062262	0.102486	0.0867434	0.0603894	0.076954	0.0475157	0.066827	0.0493716	0.0817014	0.0585621	0.0604144	0.0853743	0.0548681	0.0593546	0.059525	0.0908755	0.0721684	0.0840036	0.101267	0.120236	0.097811	0.0553849	0.0931964	0.063385	0.0851346	0.0914855	0.0852303	0.0900042	0.0587765	0.068039	0.0608169	0.0835416	0.073037	0.0854224	0.106206	0.0766056	0.0467513	0.0605146	0.104495	0.0918784	0.120566	0.0874458	0.054128	0.0769152	0.126215	0.0550825	0.127102	0.0981375	0.0822313	0.0569603	0.074396	0.0756916	0.15307	0.086545	0.0506501	0.0584199	0.0923891	0.0751681	0.0578102	0.0591609
Sample27	0.0653369	0.0630606	0.0902745	0.086102	0.0783795	0.0931382	0.11566	0.0606906	0.0405854	0.0520776	0.0666486	0.0773055	0.0906559	0.10198	0.104801	0.07339	0.109846	0.081352	0.087955	0.0611983	0.0450984	0.0440779	0.103665	0.0969099	0.071018	0.0326803	0	0.0987984	0.101056	0.0957173	0.0902203	0.0625528	0.0931964	0.0976162	0.101267	0.0352608	0.107822	0.0809196	0.0584199	0.0548254	0.0381928	0.0682862	0.0512216	0.0757292	0.0480529	0.0485989	0.0832214	0.0476535	0.0508205	0.0647686	0.0974224	0.0708186	0.0972937	0.12101	0.0949205	0.0843302	0.0451304	0.0983347	0.056847	0.0678854	0.0788664	0.0892038	0.0744689	0.0641257	0.036071	0.0399153	0.0720998	0.074396	0.0700961	0.121459	0.069101	0.0293575	0.0353885	0.0985328	0.088993	0.066708	0.0794422	0.0478612	0.0684727	0.124977	0.0652511	0.107331	0.0694831	0.0585859	0.0463674	0.0592334	0.102777	0.153298	0.0796083	0.0438316	0.036071	0.104955	0.0639874	0.0357513	0.0689429
Sample28	0.0812652	0.119368	0.114877	0.0764518	0.149777	0.0993347	0.0897357	0.105811	0.069101	0.0878527	0.110631	0.108738	0.0725829	0.073461	0.114587	0.0912071	0.0937239	0.118097	0.0835416	0.119261	0.155166	0.120677	0.118622	0.0553416	0.0909857	0.0994698	0.0987984	0	0.0512408	0.0468017	0.0671264	0.0835876	0.073461	0.0568923	0.093842	0.0906012	0.083267	0.0473956	0.068039	0.087955	0.0864955	0.173336	0.156129	0.0880063	0.0931964	0.103367	0.0840501	0.0825885	0.108822	0.139239	0.120677	0.0549323	0.0705543	0.0634666	0.0880063	0.118097	0.0972937	0.0886267	0.129065	0.0718946	0.0690377	0.084424	0.134767	0.139745	0.105342	0.0749829	0.0642645	0.0857608	0.0841899	0.0650801	0.105576	0.10359	0.113259	0.117065	0.0603145	0.0624468	0.0594032	0.0674281	0.0482105	0.0681315	0.0606654	0.0585147	0.0792356	0.0881605	0.0872439	0.0705214	0.0644597	0.0681624	0.0866937	0.0884189	0.103145	0.114108	0.104419	0.106285	0.13538
Sample29	0.0768763	0.105654	0.111609	0.0850869	0.10774	0.0617393	0.0591609	0.137753	0.0645157	0.0848014	0.173336	0.0923321	0.0830395	0.0718946	0.074909	0.0991328	0.0778986	0.0767988	0.0597453	0.176252	0.139745	0.0910963	0.112335	0.056644	0.100916	0.121912	0.101056	0.0512408	0	0.0560198	0.0459717	0.0933715	0.0701612	0.0656533	0.117578	0.0811785	0.087955	0.0559095	0.0649949	0.0750198	0.0925035	0.139239	0.161822	0.115365	0.0830395	0.0903831	0.0898966	0.0865945	0.0786222	0.175137	0.0870931	0.0723406	0.0829037	0.0902203	0.0836797	0.0932547	0.0915974	0.0923321	0.119909	0.074909	0.0747985	0.0858093	0.0899503	0.172984	0.0965927	0.0757292	0.0702918	0.0743233	0.0616356	0.0900042	0.0820096	0.09343	0.0960902	0.0876996	0.0702918	0.0775812	0.0670063	0.0664415	0.0632225	0.0741782	0.0818332	0.0526739	0.0561083	0.0645998	0.0895754	0.0964665	0.0763368	0.0884189	0.102413	0.0863475	0.0990657	0.111789	0.0886788	0.106126	0.180176
Sample30	0.0723406	0.10148	0.114587	0.0732484	0.156373	0.0849439	0.0936649	0.106684	0.0710848	0.0756916	0.139239	0.0873952	0.0755788	0.0733545	0.0781383	0.102777	0.0989318	0.0905466	0.0686288	0.148114	0.170592	0.10807	0.0874458	0.0593546	0.0896287	0.106845	0.0957173	0.0468017	0.0560198	0	0.0624998	0.105342	0.0623939	0.0703573	0.10198	0.0821868	0.108991	0.0419274	0.0558435	0.0823203	0.0855671	0.177782	0.16322	0.107576	0.0752797	0.0820096	0.0790711	0.0762603	0.0857123	0.151946	0.106845	0.0646278	0.0682243	0.085858	0.0773055	0.122949	0.0833583	0.0825885	0.114395	0.0678241	0.0649949	0.0760698	0.0960902	0.15307	0.106285	0.091041	0.0520382	0.0989987	0.0721684	0.0771489	0.0771489	0.0920479	0.102196	0.103441	0.0536089	0.0708186	0.0511448	0.0593789	0.0438163	0.0865945	0.0611217	0.069101	0.107168	0.0925608	0.0829942	0.104116	0.0653656	0.104724	0.0949813	0.0884189	0.103071	0.10359	0.0869429	0.109417	0.161822
